kenteken;voertuigsoort;merk;catalogusprijs;eerste_kleur;prijscategorie
00NTP1;Personenauto;FIAT;9639.0;WIT;normaal
00NTP2;Personenauto;FIAT;17153.0;GRIJS;normaal
00NTS3;Personenauto;FIAT;9466.0;WIT;normaal
00NTS4;Personenauto;FIAT;15854.0;GRIJS;normaal
00NTV2;Personenauto;FIAT;9639.0;BLAUW;normaal
00NTV7;Personenauto;FIAT;18446.0;ZWART;normaal
00NTX9;Personenauto;FIAT;18933.0;WIT;normaal
00NVB5;Personenauto;FIAT;10170.0;ZWART;normaal
00NVF2;Personenauto;FIAT;16442.0;GRIJS;normaal
00NVF4;Personenauto;FIAT;15318.0;ROOD;normaal
00NVG9;Personenauto;FIAT;16442.0;ZWART;normaal
00NVH3;Personenauto;FIAT;8314.0;GEEL;normaal
00NVK4;Personenauto;FIAT;13705.0;GRIJS;normaal
00NVN8;Personenauto;FIAT;9720.0;GRIJS;normaal
00NVS8;Personenauto;FIAT;16470.0;GRIJS;normaal
00NXB2;Personenauto;FIAT;9590.0;ZWART;normaal
00NXF5;Personenauto;FIAT;16982.0;GRIJS;normaal
00NXH2;Personenauto;FIAT;9590.0;BLAUW;normaal
00NXK4;Personenauto;FIAT;9590.0;ZWART;normaal
00NXL3;Personenauto;FIAT;8690.0;BLAUW;normaal
00NXL8;Personenauto;FIAT;18406.0;ZWART;normaal
00NZH1;Personenauto;FIAT;8564.0;WIT;normaal
00PBG5;Personenauto;FIAT;19122.0;ROOD;normaal
00PBV3;Personenauto;FIAT;16477.0;BLAUW;normaal
00PBV4;Personenauto;FIAT;9590.0;GRIJS;normaal
00PDH8;Personenauto;FIAT;18648.0;ZWART;normaal
00PDR7;Personenauto;FIAT;15051.0;GRIJS;normaal
00PDS1;Personenauto;FIAT;17275.0;BLAUW;normaal
00PDZ7;Personenauto;FIAT;8524.0;BLAUW;normaal
00PDZ9;Personenauto;FIAT;16500.0;WIT;normaal
00PFF1;Personenauto;FIAT;16368.0;ROSE;normaal
00PGP8;Personenauto;FIAT;16217.0;WIT;normaal
00PGP9;Personenauto;FIAT;18136.0;WIT;normaal
00PGR1;Personenauto;FIAT;9720.0;ZWART;normaal
00PGR2;Personenauto;FIAT;10170.0;ZWART;normaal
00PGR4;Personenauto;FIAT;13874.0;BLAUW;normaal
00PGR6;Personenauto;FIAT;18216.0;ZWART;normaal
00PGT3;Personenauto;FIAT;9635.0;ZWART;normaal
00PGT4;Personenauto;FIAT;21189.0;GRIJS;hoog
00PGX3;Personenauto;FIAT;9720.0;ZWART;normaal
00PGX4;Personenauto;FIAT;18388.0;ZWART;normaal
00PHB8;Personenauto;FIAT;8885.0;GRIJS;normaal
00PHL5;Personenauto;FIAT;9520.0;WIT;normaal
00PHP8;Personenauto;FIAT;8819.0;GRIJS;normaal
00PHP9;Personenauto;FIAT;14772.0;WIT;normaal
00PHV2;Personenauto;FIAT;15852.0;CREME;normaal
00PHV3;Personenauto;FIAT;9590.0;BLAUW;normaal
00PJB2;Personenauto;FIAT;16143.0;CREME;normaal
00PJH4;Personenauto;FIAT;8719.0;ZWART;normaal
00PJL6;Personenauto;FIAT;9720.0;PAARS;normaal
00PJR4;Personenauto;FIAT;17233.0;BLAUW;normaal
00PJV5;Personenauto;FIAT;16170.0;WIT;normaal
00PKF3;Personenauto;FIAT;23293.0;GRIJS;hoog
00PKH5;Personenauto;FIAT;16080.0;ZWART;normaal
00PKH6;Personenauto;FIAT;16215.0;GRIJS;normaal
00PKL7;Personenauto;FIAT;13763.0;GRIJS;normaal
00PKR7;Personenauto;FIAT;17045.0;CREME;normaal
00PKR8;Personenauto;FIAT;17104.0;GRIJS;normaal
00PKV1;Personenauto;FIAT;18594.0;ZWART;normaal
00PLF4;Personenauto;FIAT;9744.0;GRIJS;normaal
00PLH8;Personenauto;FIAT;8629.0;BLAUW;normaal
00PLN3;Personenauto;FIAT;9494.0;ZWART;normaal
00PLN4;Personenauto;FIAT;17744.0;WIT;normaal
00PLS4;Personenauto;FIAT;14418.0;BLAUW;normaal
00PLV7;Personenauto;FIAT;15893.0;ZWART;normaal
00PNB2;Personenauto;FIAT;14245.0;WIT;normaal
00PNB3;Personenauto;FIAT;17762.0;BLAUW;normaal
00PNF7;Personenauto;FIAT;18482.0;ZWART;normaal
00PNK6;Personenauto;FIAT;16719.0;CREME;normaal
00PNK7;Personenauto;FIAT;9744.0;BEIGE;normaal
00PNR1;Personenauto;FIAT;14047.0;BLAUW;normaal
00PNR2;Personenauto;FIAT;9669.0;GRIJS;normaal
00PNR3;Personenauto;FIAT;16980.0;ZWART;normaal
00PNV8;Personenauto;FIAT;9220.0;GEEL;normaal
00PNV9;Personenauto;FIAT;16470.0;GRIJS;normaal
00PPF3;Personenauto;FIAT;19274.0;ZWART;normaal
